,gates,n_gates,sizes,seed_offset,perfect_circuits,loss_target,learning_rate,depth,weights,l1_lambda,l2_lambda,dropout_rate,detailed_circuits_file
0,XOR,1,3,0,[15],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed0_baseline.json
1,XOR,1,3,1,[102],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed1_baseline.json
2,XOR,1,3,2,[85],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed2_baseline.json
3,XOR,1,3,3,[114],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed3_baseline.json
4,XOR,1,3,4,[52],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed4_baseline.json
5,XOR,1,3,5,[26],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed5_baseline.json
6,XOR,1,3,6,[10],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed6_baseline.json
7,XOR,1,3,8,[34],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed8_baseline.json
8,XOR,1,3,9,[13],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed9_baseline.json
9,XOR,1,3,10,[35],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed10_baseline.json
10,XOR,1,3,11,[89],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed11_baseline.json
11,XOR,1,3,12,[16],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed12_baseline.json
12,XOR,1,3,13,[90],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed13_baseline.json
13,XOR,1,3,14,[26],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed14_baseline.json
14,XOR,1,3,15,[66],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed15_baseline.json
15,XOR,1,3,16,[56],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed16_baseline.json
16,XOR,1,3,17,[35],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed17_baseline.json
17,XOR,1,3,18,[66],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed18_baseline.json
18,XOR,1,3,19,[108],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed19_baseline.json
19,XOR,1,3,20,[50],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed20_baseline.json
20,XOR,1,3,21,[26],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed21_baseline.json
21,XOR,1,3,22,[72],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed22_baseline.json
22,XOR,1,3,23,[26],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed23_baseline.json
23,XOR,1,3,24,[83],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed24_baseline.json
24,XOR,1,3,25,[72],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed25_baseline.json
25,XOR,1,3,26,[128],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed26_baseline.json
26,XOR,1,3,27,[77],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed27_baseline.json
27,XOR,1,3,29,[14],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed29_baseline.json
28,XOR,1,3,30,[9],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed30_baseline.json
29,XOR,1,3,32,[94],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed32_baseline.json
30,XOR,1,3,33,[26],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed33_baseline.json
31,XOR,1,3,34,[40],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed34_baseline.json
32,XOR,1,3,35,[55],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed35_baseline.json
33,XOR,1,3,36,[40],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed36_baseline.json
34,XOR,1,3,37,[29],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed37_baseline.json
35,XOR,1,3,38,[73],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed38_baseline.json
36,XOR,1,3,39,[25],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed39_baseline.json
37,XOR,1,3,40,[16],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed40_baseline.json
38,XOR,1,3,41,[52],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed41_baseline.json
39,XOR,1,3,42,[12],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed42_baseline.json
40,XOR,1,3,43,[35],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed43_baseline.json
41,XOR,1,3,44,[70],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed44_baseline.json
42,XOR,1,3,45,[52],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed45_baseline.json
43,XOR,1,3,46,[52],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed46_baseline.json
44,XOR,1,3,47,[36],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed47_baseline.json
45,XOR,1,3,48,[14],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed48_baseline.json
46,XOR,1,3,49,[52],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed49_baseline.json
47,XOR,1,3,50,[120],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed50_baseline.json
48,XOR,1,3,52,[45],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed52_baseline.json
49,XOR,1,3,53,[74],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed53_baseline.json
50,XOR,1,3,54,[52],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed54_baseline.json
51,XOR,1,3,55,[27],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed55_baseline.json
52,XOR,1,3,56,[5],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed56_baseline.json
53,XOR,1,3,57,[65],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed57_baseline.json
54,XOR,1,3,58,[133],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed58_baseline.json
55,XOR,1,3,59,[44],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed59_baseline.json
56,XOR,1,3,61,[85],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed61_baseline.json
57,XOR,1,3,62,[45],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed62_baseline.json
58,XOR,1,3,63,[12],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed63_baseline.json
59,XOR,1,3,64,[24],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed64_baseline.json
60,XOR,1,3,65,[85],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed65_baseline.json
61,XOR,1,3,66,[35],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed66_baseline.json
62,XOR,1,3,67,[57],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed67_baseline.json
63,XOR,1,3,68,[67],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed68_baseline.json
64,XOR,1,3,69,[88],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed69_baseline.json
65,XOR,1,3,70,[158],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed70_baseline.json
66,XOR,1,3,71,[23],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed71_baseline.json
67,XOR,1,3,72,[85],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed72_baseline.json
68,XOR,1,3,73,[52],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed73_baseline.json
69,XOR,1,3,74,[30],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed74_baseline.json
70,XOR,1,3,75,[87],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed75_baseline.json
71,XOR,1,3,77,[42],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed77_baseline.json
72,XOR,1,3,78,[45],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed78_baseline.json
73,XOR,1,3,79,[8],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed79_baseline.json
74,XOR,1,3,80,[13],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed80_baseline.json
75,XOR,1,3,81,[72],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed81_baseline.json
76,XOR,1,3,82,[52],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed82_baseline.json
77,XOR,1,3,84,[45],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed84_baseline.json
78,XOR,1,3,85,[37],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed85_baseline.json
79,XOR,1,3,86,[85],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed86_baseline.json
80,XOR,1,3,87,[52],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed87_baseline.json
81,XOR,1,3,88,[24],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed88_baseline.json
82,XOR,1,3,89,[44],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed89_baseline.json
83,XOR,1,3,90,[14],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed90_baseline.json
84,XOR,1,3,91,[38],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed91_baseline.json
85,XOR,1,3,92,[167],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed92_baseline.json
86,XOR,1,3,93,[77],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed93_baseline.json
87,XOR,1,3,94,[30],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed94_baseline.json
88,XOR,1,3,95,[167],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed95_baseline.json
89,XOR,1,3,96,[74],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed96_baseline.json
90,XOR,1,3,97,[28],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed97_baseline.json
91,XOR,1,3,98,[12],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed98_baseline.json
92,XOR,1,3,99,[22],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed99_baseline.json
